Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
l1tex__t_sectors_pipe_lsu_mem_global_op_ld                                  # of sectors requested for global loads                                                             
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom                         # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
fe__cycles_in_region                                                        # of cycles in user-defined region                                                                  
lts__t_requests_srcunit_l1                                                  # of LTS requests from unit L1                                                                      
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss               # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that missed          
l1tex__t_set_accesses_pipe_lsu_mem_global_op_ld                             # of cache set accesses for global loads                                                            
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_hit              # of LTS requests from unit TEX accessing system memory (sysmem) for reads that hit                 
sm__cycles_active                                                           # of cycles with at least one warp in flight                                                        
lts__t_sectors_op_read                                                      # of LTS sectors for reads                                                                          
lts__t_sectors_srcunit_l1_lookup_hit                                        # of LTS sectors from unit L1 that hit                                                              
smsp__inst_executed_op_generic_st                                           # of warp instructions executed: ST                                                                 
lts__t_sectors_aperture_sysmem_op_atom                                      # of LTS sectors accessing system memory (sysmem) for all atomics                                   
lts__t_sectors_srcunit_tex_op_write                                         # of LTS sectors from unit TEX for writes                                                           
sm__pipe_fma_cycles_active                                                  # of cycles where fma pipe was active                                                               
lts__t_requests_srcunit_l1_op_atom                                          # of LTS requests from unit L1 for all atomics                                                      
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_hit                # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that hit             
smsp__sass_inst_executed_op_ld                                              # of warp instructions executed: LDG, LD, LDS                                                       
gr__cycles_in_region                                                        # of cycles in user-defined region                                                                  
lts__t_requests_aperture_peer_op_write_lookup_miss                          # of LTS requests accessing peer memory (peermem) for writes that missed                            
lts__t_requests_op_red                                                      # of LTS requests for reductions                                                                    
smsp__inst_executed_op_ldc                                                  # of warp instructions executed: LDC                                                                
gpu__draw_count                                                             # of draw calls sent to GPU                                                                         
lts__t_requests_srcunit_tex_op_write                                        # of LTS requests from unit TEX for writes                                                          
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture                         # of sectors requested for texture                                                                  
lts__t_requests_op_membar                                                   # of LTS requests for memory barriers                                                               
lts__t_sectors_aperture_peer_op_read                                        # of LTS sectors accessing peer memory (peermem) for reads                                          
lts__t_sectors_aperture_sysmem_op_red                                       # of LTS sectors accessing system memory (sysmem) for reductions                                    
lts__t_requests_srcunit_tex_aperture_peer_op_read                           # of LTS requests from unit TEX accessing peer memory (peermem) for reads                           
lts__t_requests_op_membar_lookup_miss                                       # of LTS requests for memory barriers that missed                                                   
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld                               # of sectors read from L2 into L1TEX M-Stage for local/global loads                                 
l1tex__t_set_accesses_pipe_tex_mem_surface_op_st                            # of cache set accesses for surface stores                                                          
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that hit            
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that hit               
lts__t_sectors_srcunit_tex_aperture_device_op_write                         # of LTS sectors from unit TEX accessing device memory (vidmem) for writes                          
lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_miss               # of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that missed          
smsp__inst_executed_shader_cs                                               # of warp instructions executed by CS                                                               
smsp__inst_executed_op_shared_st_pred_off_all                               # of warp instructions executed with all threads predicated off: STS                                
l1tex__data_bank_conflicts_pipe_lsu_cmd_write                               # of data bank conflicts generated by LSU writes                                                    
lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_hit               # of LTS requests from unit TEX accessing system memory (sysmem) for reductions that hit            
smsp__inst_executed_pipe_cbu_pred_off_all                                   # of warp instructions executed by cbu with all threads predicated off                              
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st                         # of sectors written to L2 for surface stores                                                       
lts__t_sectors_srcunit_tex_aperture_sysmem                                  # of LTS sectors from unit TEX accessing system memory (sysmem)                                     
lts__t_requests_srcunit_tex_aperture_device_op_write                        # of LTS requests from unit TEX accessing device memory (vidmem) for writes                         
smsp__sass_inst_executed_op_memory_128b                                     # of warp instructions executed by memory instructions with width 128 bit                           
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red                      # of wavefronts sent to Data-Stage from T-Stage for surface reductions                              
l1tex__t_set_conflicts                                                      # of extra cycles spent on set conflicts                                                            
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_miss             # of LTS requests from unit L1 accessing device memory (vidmem) for writes that missed              
smsp__cycles_active                                                         # of cycles with at least one warp in flight                                                        
smsp__warps_issue_stalled_drain                                             cumulative # of warps waiting after EXIT for all memory instructions to complete so that warp       
                                                                            resources can be freed                                                                              
lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_hit                   # of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that hit                 
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_lookup_hit                  # of LTS sectors from unit L1 accessing peer memory (peermem) for all atomics that hit              
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_miss                       # of LTS sectors from unit L1 for atomic CAS that missed                                            
lts__t_sectors_equiv_l1tagmiss_pipe_lsu                                     # of sectors requested for LSU pipe local/global                                                    
lts__t_sectors_aperture_device_op_write_lookup_miss                         # of LTS sectors accessing device memory (vidmem) for writes that missed                            
lts__t_sectors_srcunit_tex_aperture_device_lookup_miss                      # of LTS sectors from unit TEX accessing device memory (vidmem) that missed                         
lts__d_sectors_fill_sysmem                                                  # of sectors filled from system memory                                                              
