Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
gpu__compute_memory_request_throughput_internal_activity                    Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity 
sm__instruction_throughput_internal_activity                                SM core instruction throughput assuming ideal load balancing across SMSPs, internal activity        
gpu__compute_memory_access_throughput_internal_activity                     Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity 
sm__instruction_throughput                                                  SM core instruction throughput assuming ideal load balancing across SMSPs                           
sm__throughput                                                              SM throughput assuming ideal load balancing across SMSPs                                            
fbpa__throughput                                                            FBPA throughput                                                                                     
l1tex__throughput                                                           L1TEX Throughput                                                                                    
lts__throughput                                                             LTS throughput                                                                                      
sm__memory_throughput_internal_activity                                     SM memory instruction throughput assuming ideal load balancing across SMSPs, internal activity      
sm__memory_throughput                                                       SM memory instruction throughput assuming ideal load balancing across SMSPs                         
gpu__compute_memory_access_throughput                                       Compute Memory Pipeline : throughput of internal activity within caches and DRAM                    
gpu__compute_memory_request_throughput                                      Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM                    
gpu__compute_memory_throughput                                              Compute Memory Pipeline Throughput                                                                  
lts__throughput_internal_activity                                           LTS throughput, internal activity                                                                   
gpu__dram_throughput                                                        GPU DRAM throughput                                                                                 
fbpa__dram_write_throughput                                                 FBPA write throughput                                                                               
dram__throughput                                                            DRAM throughput                                                                                     
fbpa__dram_read_throughput                                                  FBPA read throughput                                                                                
smsp__sass_thread_inst_executed_op_control_pred_on                          # of control-flow thread instructions executed where all predicates were true                       
lts__t_requests_aperture_peer_op_red                                        # of LTS requests accessing peer memory (peermem) for reductions                                    
l1tex__texin_requests_mem_texture_op_null                                   # of requests sent to TEXIN for null texture instructions                                           
fbpa__cycles_in_frame                                                       # of cycles in user-defined frame                                                                   
lts__t_sectors_aperture_peer_op_membar_lookup_hit                           # of LTS sectors accessing peer memory (peermem) for memory barriers that hit                       
gpc__cycles_elapsed                                                         # of cycles where GPC was active                                                                    
lts__t_requests_srcunit_l1_op_atom                                          # of LTS requests from unit L1 for all atomics                                                      
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS                       
l1tex__cycles_in_region                                                     # of cycles in user-defined region                                                                  
lts__t_sectors_srcunit_tex_op_red_lookup_miss                               # of LTS sectors from unit TEX for reductions that missed                                           
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that hit            
gpu__cycles_in_region                                                       # of cycles in user-defined region                                                                  
sm__cycles_active                                                           # of cycles with at least one warp in flight                                                        
gpu__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
smsp__inst_executed_shader_cs                                               # of warp instructions executed by CS                                                               
smsp__inst_executed_op_generic_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: ST                            
lts__t_requests_srcunit_tex_op_read                                         # of LTS requests from unit TEX for reads                                                           
l1tex__t_set_accesses_pipe_lsu_mem_global_op_ld                             # of cache set accesses for global loads                                                            
tpc__cycles_in_region                                                       # of cycles in user-defined region                                                                  
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit                      # of bytes requested with tag-hit and data-hit for surface atomics                                  
lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_miss              # of LTS requests from unit TEX accessing peer memory (peermem) for writes that missed              
lts__t_sectors_srcunit_l1_aperture_device_op_write                          # of LTS sectors from unit L1 accessing device memory (vidmem) for writes                           
l1tex__f_tex2sm_cycles_active                                               # of cycles where texture/surface writeback interface was active                                    
smsp__inst_executed_op_surface_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: SULD                               
l1tex__texin_requests_mem_surface_op_st                                     # of requests sent to TEXIN for surface store instructions (SUST)                                   
smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.CAS                          
lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_hit               # of LTS requests from unit TEX accessing system memory (sysmem) for reductions that hit            
lts__t_sectors_srcunit_tex                                                  # of LTS sectors from unit TEX                                                                      
l1tex__t_set_conflicts                                                      # of extra cycles spent on set conflicts                                                            
l1tex__m_xbar2l1tex_read_sectors_mem_texture                                # of sectors read from L2 into L1TEX M-Stage for texture                                            
smsp__inst_executed_op_generic_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: LD                            
l1tex__data_pipe_lsu_wavefronts                                             # of local/global/shared wavefronts processed by Data-Stage                                         
l1tex__t_requests_pipe_lsu_mem_local_op_ld                                  # of requests sent to T-Stage for local loads                                                       
smsp__inst_executed                                                         # of warp instructions executed                                                                     
lts__t_requests_srcunit_l1_aperture_peer_op_read                            # of LTS requests from unit L1 accessing peer memory (peermem) for reads                            
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that missed                
lts__t_sectors_op_membar_lookup_hit                                         # of LTS sectors for memory barriers that hit                                                       
l1tex__t_requests_pipe_tex_mem_surface_op_ld                                # of requests sent to T-Stage for surface loads                                                     
l1tex__t_sectors_pipe_tex_mem_texture_op_tex                                # of sectors requested for TEX instructions                                                         
lts__t_requests_aperture_sysmem_lookup_hit                                  # of LTS requests accessing system memory (sysmem) that hit                                         
smsp__inst_executed_op_ldc_pred_on_any                                      # of warp instructions executed with at least 1 thread predicated on: LDC                           
smsp__inst_executed_pipe_ipa                                                # of warp instructions executed by ipa pipe                                                         
smsp__warps_issue_stalled_membar                                            cumulative # of warps waiting on a memory barrier                                                   
sm__warps_launched_shader_cs                                                # of warps launched for CS                                                                          
l1tex__f_wavefronts                                                         # of wavefronts processed by L1TEX F-Stage                                                          
smsp__inst_executed_op_surface_red_pred_off_all                             # of warp instructions executed with all threads predicated off: SURED                              
l1tex__lsu_writeback_active                                                 # of cycles where local/global/shared writeback interface was active                                
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld                            # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for surface  
                                                                            loads                                                                                               
dram__bytes                                                                 # of bytes accessed in DRAM                                                                         
lts__t_requests_srcunit_l1_aperture_peer_op_membar                          # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers                  
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read                          # of LTS sectors from unit TEX accessing system memory (sysmem) for reads                           
idc__requests_lookup_hit                                                    # of IDC requests that hit                                                                          
smsp__inst_executed_op_generic_st_pred_off_all                              # of warp instructions executed with all threads predicated off: ST                                 
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_hit                     # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that hit                  
lts__t_sectors_srcunit_l1_op_write                                          # of LTS sectors from unit L1 for writes                                                            
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss                       # of sector requests to T-Stage that missed for local stores                                        
smsp__sass_inst_executed_op_ld                                              # of warp instructions executed: LDG, LD, LDS                                                       
smsp__inst_executed_op_generic_atom_dot_alu_pred_on_any                     # of warp instructions executed with at least 1 thread predicated on: ATOM.ALU, ATOMG.ALU (non-CAS) 
l1tex__data_bank_conflicts_pipe_lsu                                         # of data bank conflicts generated by LSU pipe                                                      
l1tex__t_bytes_pipe_tex_mem_surface_op_ld                                   # of bytes requested for surface loads                                                              
l1tex__t_sectors                                                            # of sectors requested                                                                              
smsp__inst_executed_op_shared_atom_pred_off_all                             # of warp instructions executed with all threads predicated off: ATOMS.*                            
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_miss               # of LTS requests from unit L1 accessing peer memory (peermem) for writes that missed               
lts__t_sectors_srcunit_l1_aperture_peer_op_read_lookup_miss                 # of LTS sectors from unit L1 accessing peer memory (peermem) for reads that missed                 
lts__t_requests_srcunit_tex_op_membar_lookup_miss                           # of LTS requests from unit TEX for memory barriers that missed                                     
smsp__inst_executed_op_generic_atom_dot_alu_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.ALU, ATOMG.ALU (non-CAS)      
lts__d_sectors                                                              # of sectors accessed in data banks                                                                 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that hit              
lts__t_sectors_aperture_peer_op_atom_dot_cas                                # of LTS sectors accessing peer memory (peermem) for atomic CAS                                     
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red                          # of bytes written to L2# of sectors written to L2 for surface reductions                           
l1tex__t_bytes_pipe_lsu_lookup_miss                                         # of bytes requested that missed for LSU pipe local/global                                          
smsp__inst_executed_op_shared_atom_dot_cas_pred_on_any                      # of warp instructions executed with at least 1 thread predicated on: ATOMS.CAS                     
lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_hit             # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that hit        
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit                       # of LTS sectors from unit TEX for atomic ALU (non-CAS) that hit                                    
lts__t_requests_op_atom_lookup_miss                                         # of LTS requests for all atomics that missed                                                       
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_miss                # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that missed                
lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit                # of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit             
lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_miss                # of LTS requests from unit TEX accessing peer memory (peermem) for reductions that missed          
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_atom                          # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for surface  
                                                                            atomics                                                                                             
smsp__sass_inst_executed_op_memory_64b                                      # of warp instructions executed by memory instructions with width 64 bit                            
lts__t_requests_srcunit_tex_op_atom_lookup_hit                              # of LTS requests from unit TEX for all atomics that hit                                            
smsp__inst_executed_op_global_ld                                            # of warp instructions executed: LDG                                                                
lts__t_requests_aperture_peer_lookup_hit                                    # of LTS requests accessing peer memory (peermem) that hit                                          
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss      # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that missed          
lts__t_requests_srcunit_l1_aperture_device_op_write                         # of LTS requests from unit L1 accessing device memory (vidmem) for writes                          
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss              # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed         
sm__cycles_active_shader_cs                                                 # of cycles where CS warps were resident                                                            
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_hit                       # of bytes requested with tag-hit and data-hit for TEX instructions                                 
lts__t_sectors_srcunit_tex_lookup_miss                                      # of LTS sectors from unit TEX that missed                                                          
fe__cycles_elapsed                                                          # of cycles elapsed on FE                                                                           
l1tex__t_requests_pipe_tex_mem_texture                                      # of requests sent to T-Stage from the L1TEX X-Stage for textures                                   
lts__t_requests_srcunit_tex_aperture_device                                 # of LTS requests from unit TEX accessing device memory (vidmem)                                    
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit                         # of LTS sectors from unit TEX accessing peer memory (peermem) that hit                             
l1tex__data_pipe_tex_wavefronts_mem_surface                                 # of surface wavefronts processed by Data-Stage                                                     
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit                  # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that hit              
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss                      # of LTS sectors from unit TEX for atomic CAS that missed                                           
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit              # of LTS sectors from unit TEX accessing system memory (sysmem) for writes that hit                 
lts__t_sectors_aperture_device_lookup_miss                                  # of LTS sectors accessing device memory (vidmem) that missed                                       
smsp__warps_issue_stalled_long_scoreboard                                   cumulative # of warps waiting for a scoreboard dependency on L1TEX (local, global, surface, tex)    
                                                                            operation                                                                                           
l1tex__t_bytes_pipe_lsu_mem_global_op_st                                    # of bytes requested for global stores                                                              
gpu__time_end                                                               end timestamp, relative to start of frame                                                           
l1tex__t_sectors_pipe_tex_mem_surface_op_atom                               # of sectors requested for surface atomics                                                          
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st                       # of wavefronts sent to Data-Stage from T-Stage for surface stores                                  
lts__t_requests_op_read_lookup_hit                                          # of LTS requests for reads that hit                                                                
gr__cycles_idle                                                             # of cycles where GR was idle                                                                       
sys__cycles_elapsed                                                         # of cycles where SYS was active                                                                    
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_miss                       # of LTS sectors from unit L1 for atomic CAS that missed                                            
smsp__inst_executed_op_ldc                                                  # of warp instructions executed: LDC                                                                
fe__cycles_in_region                                                        # of cycles in user-defined region                                                                  
fbpa__dram_read_bytes                                                       # of DRAM read bytes                                                                                
sm__ctas_active                                                             cumulative # of CTAs in flight                                                                      
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom                         # of bytes written to L2# of sectors written to L2 for surface atomics                              
smsp__inst_executed_op_generic_atom_pred_off_all                            # of warp instructions executed with all threads predicated off: ATOM.*                             
smsp__warps_launched                                                        # of warps launched                                                                                 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that hit    
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom                           # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics                      
lts__t_requests_srcunit_l1_aperture_peer_lookup_miss                        # of LTS requests from unit L1 accessing peer memory (peermem) that missed                          
sm__mio_pq_read_cycles_active_pipe_lsu                                      # of cycles where MIOP PQ sent register operands to the lsu pipe                                    
l1tex__t_sectors_pipe_tex_mem_surface_op_st                                 # of sectors requested for surface stores                                                           
l1tex__t_set_conflicts_pipe_lsu_mem_local_op_ld                             # of extra cycles spent on set conflicts for local loads                                            
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st                   # of bytes requested for global stores                                                              
lts__t_requests_srcunit_l1_op_membar_lookup_miss                            # of LTS requests from unit L1 for memory barriers that missed                                      
gpu__time_active                                                            total duration in nanoseconds                                                                       
lts__t_requests_srcunit_l1_aperture_peer_lookup_hit                         # of LTS requests from unit L1 accessing peer memory (peermem) that hit                             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that missed          
lts__t_sectors_aperture_device_op_atom_lookup_miss                          # of LTS sectors accessing device memory (vidmem) for all atomics that missed                       
lts__t_requests_aperture_sysmem_op_atom_dot_cas                             # of LTS requests accessing system memory (sysmem) for atomic CAS                                   
lts__t_tag_requests_miss                                                    # of LTS requests with tag miss                                                                     
dram__sectors_write                                                         # of sectors written to DRAM                                                                        
l1tex__t_requests_pipe_tex_mem_surface_op_st                                # of requests sent to T-Stage for surface stores                                                    
smsp__inst_executed_op_surface_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SULD                          
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_miss             # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that missed        
lts__t_requests_srcunit_l1_lookup_miss                                      # of LTS requests from unit L1 that missed                                                          
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit                       # of bytes requested with tag-hit and data-hit for surface reductions                               
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom                         # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld                        # of data bank conflicts generated by shared loads                                                  
l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld                            # of cache set accesses for TLD instructions                                                        
lts__t_requests_srcunit_l1_aperture_peer_op_atom                            # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics                      
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_ld                   # of sectors requested for TLD instructions                                                         
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_hit                 # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that hit                   
lts__t_sectors_srcunit_l1_aperture_peer_op_read                             # of LTS sectors from unit L1 accessing peer memory (peermem) for reads                             
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st                              # of sectors written to L2 for local/global stores                                                  
lts__t_sectors_aperture_peer_op_red_lookup_miss                             # of LTS sectors accessing peer memory (peermem) for reductions that missed                         
sm__warp_launch_cycles_stalled_shader_cs_reason_cta_allocation              # of cycles where CS warp launch was stalled due to cta allocation (non-exclusively)                
lts__t_requests_srcunit_l1_op_red                                           # of LTS requests from unit L1 for reductions                                                       
smsp__inst_executed_op_shared_atom_dot_cas                                  # of warp instructions executed: ATOMS.CAS                                                          
lts__t_requests_aperture_device_op_read                                     # of LTS requests accessing device memory (vidmem) for reads                                        
lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_miss               # of LTS sectors from unit L1 accessing device memory (vidmem) for reads that missed                
lts__xbar2lts_cycles_active                                                 # of cycles where interface from XBAR to LTS was active                                             
lts__t_requests_srcunit_l1_aperture_device_op_membar                        # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers                 
lts__t_requests_srcunit_l1_op_atom_dot_cas                                  # of LTS requests from unit L1 for atomic CAS                                                       
smsp__inst_executed_op_generic_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: LD                                 
lts__t_sectors_aperture_device_op_write                                     # of LTS sectors accessing device memory (vidmem) for writes                                        
lts__t_sectors_lookup_miss                                                  # of LTS sectors that missed                                                                        
smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS                
smsp__sass_inst_executed_op_memory_8b                                       # of warp instructions executed by memory instructions with width 8 bit                             
lts__t_sectors_srcunit_l1_op_write_lookup_hit                               # of LTS sectors from unit L1 for writes that hit                                                   
lts__t_requests_srcunit_l1_aperture_peer_op_red                             # of LTS requests from unit L1 accessing peer memory (peermem) for reductions                       
lts__t_sectors                                                              # of LTS sectors                                                                                    
smsp__sass_inst_executed_op_memory_128b                                     # of warp instructions executed by memory instructions with width 128 bit                           
l1tex__data_pipe_tex_wavefronts_mem_texture                                 # of texture wavefronts processed by Data-Stage                                                     
l1tex__t_bytes_pipe_tex_mem_surface_op_red                                  # of bytes requested for surface reductions                                                         
dram__cycles_active_read                                                    # of cycles where DRAM was active for reads                                                         
l1tex__t_requests_pipe_lsu_mem_global_op_ld                                 # of requests sent to T-Stage for global loads                                                      
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                            # of STS wavefronts processed by Data-Stage                                                         
l1tex__t_bytes_pipe_tex_mem_texture_op_ld                                   # of bytes requested for TLD instructions                                                           
lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_hit               # of LTS requests from unit TEX accessing peer memory (peermem) for writes that hit                 
lts__t_sectors_srcunit_tex_aperture_peer_op_atom                            # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_alu                 # of LTS requests from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS)           
smsp__inst_executed_op_shared_st_pred_off_all                               # of warp instructions executed with all threads predicated off: STS                                
smsp__inst_executed_op_shared_atom_dot_alu_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.ALU (non-CAS)                
lts__t_sectors_srcunit_l1_op_write_lookup_miss                              # of LTS sectors from unit L1 for writes that missed                                                
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that hit              
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for TLD instructions                                    
smsp__pipe_fp64_cycles_active                                               # of cycles where fp64 pipe was active                                                              
fbpa__dram_write_sectors                                                    # of DRAM write sectors                                                                             
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_miss              # of LTS requests from unit L1 accessing system memory (sysmem) for reads that missed               
lts__t_requests_srcunit_tex_op_write_lookup_miss                            # of LTS requests from unit TEX for writes that missed                                              
dram__cycles_elapsed                                                        # of elapsed DRAM command clock cycles (CK)                                                         
lts__t_requests_aperture_device_op_atom_lookup_miss                         # of LTS requests accessing device memory (vidmem) for all atomics that missed                      
lts__t_sectors_srcunit_l1_op_red                                            # of LTS sectors from unit L1 for reductions                                                        
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for TLD instructions                      
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss               # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions that missed     
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss                      # of sector requests to T-Stage that missed for global stores                                  
lts__t_requests_op_write                                                    # of LTS requests for writes                                                                   
lts__t_bytes                                                                # of bytes requested                                                                           
smsp__sass_thread_inst_executed_op_fmul_pred_on                             # of FMUL thread instructions executed where all predicates were true                          
lts__t_sectors_aperture_peer_op_atom_dot_alu                                # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS)                      
lts__t_sectors_aperture_peer_op_write                                       # of LTS sectors accessing peer memory (peermem) for writes                                    
smsp__inst_executed_pipe_adu                                                # of warp instructions executed by adu pipe                                                    
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit                       # of bytes requested with tag-hit and data-hit for global atomics                              
lts__t_requests_op_membar                                                   # of LTS requests for memory barriers                                                          
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit                 # of LTS sectors from unit TEX accessing peer memory (peermem) for reads that hit              
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for surface loads                    
sm__inst_executed_pipe_tensor_op_hmma                                       # of warp instructions executed by tensor_op_hmma pipe                                         
l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_write                            # of local/global write wavefronts processed by Data-Stage                                     
l1tex__m_l1tex2xbar_write_bytes                                             # of bytes written to L2# of sectors written to L2                                             
lts__t_sectors_srcunit_tex_aperture_device_op_red                           # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions                 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that hit        
sm__inst_executed_pipe_fp16                                                 # of warp instructions executed by fp16 pipe                                                   
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss                     # of sector requests to T-Stage that missed for global reductions                              
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_miss             # of LTS requests from unit L1 accessing system memory (sysmem) for writes that missed         
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red                           # of LTS sectors from unit TEX accessing system memory (sysmem) for reductions                 
smsp__sass_thread_inst_executed_op_fadd_pred_on                             # of FADD thread instructions executed where all predicates were true                          
lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu                  # of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)       
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_hit              # of LTS requests from unit L1 accessing system memory (sysmem) for writes that hit            
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_alu                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)        
l1tex__t_bytes_lookup_miss                                                  # of bytes requested that missed                                                               
lts__t_sectors_srcunit_tex_aperture_peer_op_membar                          # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS                 
l1tex__t_bytes_pipe_lsu_mem_local_op_st                                     # of bytes requested for local stores                                                          
lts__t_requests_aperture_sysmem                                             # of LTS requests accessing system memory (sysmem)                                             
lts__t_sectors_srcunit_l1_aperture_peer_op_write                            # of LTS sectors from unit L1 accessing peer memory (peermem) for writes                       
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for TLD instructions                            
l1tex__t_texels                                                             # of valid texel queries at L1TEX T-Stage                                                      
lts__t_requests_aperture_sysmem_op_read_lookup_hit                          # of LTS requests accessing system memory (sysmem) for reads that hit                          
lts__t_requests_op_write_lookup_hit                                         # of LTS requests for writes that hit                                                          
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_hit                        # of bytes requested with tag-hit and data-hit for surface stores                              
lts__t_sectors_srcunit_tex_aperture_device_lookup_hit                       # of LTS sectors from unit TEX accessing device memory (vidmem) that hit                       
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)        
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_hit                # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that hit     
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for global atomics                   
l1tex__data_pipe_lsu_wavefronts_cmd_read                                    # of local/global/shared read wavefronts processed by Data-Stage                               
tpc__warp_launch_cycles_stalled_shader_cs_reason_shmem_allocation           # of cycles where CS warp launch was stalled due to shmem allocation (non-exclusively)         
smsp__inst_executed_op_shared_st                                            # of warp instructions executed: STS                                                           
lts__t_sectors_aperture_peer_op_read_lookup_hit                             # of LTS sectors accessing peer memory (peermem) for reads that hit                            
lts__t_sectors_op_atom_dot_alu                                              # of LTS sectors for atomic ALU (non-CAS)                                                      
lts__t_requests_srcunit_l1_op_read_lookup_hit                               # of LTS requests from unit L1 for reads that hit                                              
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit               # of LTS sectors from unit TEX accessing device memory (vidmem) for reads that hit             
lts__t_requests_srcunit_l1_op_read_lookup_miss                              # of LTS requests from unit L1 for reads that missed                                           
l1tex__t_output_wavefronts_pipe_lsu_mem_global                              # of wavefronts sent to Data-Stage from T-Stage for global memory instructions                 
lts__t_sectors_aperture_peer_op_write_lookup_hit                            # of LTS sectors accessing peer memory (peermem) for writes that hit                           
lts__t_requests_aperture_sysmem_op_atom                                     # of LTS requests accessing system memory (sysmem) for all atomics                             
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit                         # of bytes requested with tag-hit and data-hit for global loads                                
l1tex__t_sectors_pipe_lsu_mem_global_op_red                                 # of sectors requested for global reductions                                                   
